electricity_availability,tap_yn,desktop,laptop,tablet,internet,Cluster,Deficit_Tier
1,2,0,0,0,2,0,Server Deficit
1,1,0,2,0,1,1,Moderate Deficit
1,1,2,0,0,1,1,Moderate Deficit
1,1,80,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,1,0,0,1,1,Moderate Deficit
1,1,25,0,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,35,2,0,1,1,Moderate Deficit
1,1,1,2,0,1,1,Moderate Deficit
1,1,0,1,2,2,2,Well Equipped
1,2,20,1,11,1,0,Server Deficit
1,2,5,1,0,1,0,Server Deficit
1,2,3,3,2,1,0,Server Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,6,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,20,1,0,1,1,Moderate Deficit
1,1,11,1,5,1,1,Moderate Deficit
1,1,3,21,0,1,1,Moderate Deficit
1,1,3,0,0,1,1,Moderate Deficit
1,1,8,0,0,1,1,Moderate Deficit
1,1,10,5,0,1,1,Moderate Deficit
1,1,0,1,0,2,2,Well Equipped
1,1,0,1,0,2,2,Well Equipped
1,1,5,5,5,1,1,Moderate Deficit
1,1,5,2,0,1,1,Moderate Deficit
1,1,50,2,0,1,1,Moderate Deficit
1,1,45,15,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,8,0,0,1,1,Moderate Deficit
1,1,1,1,10,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,2,1,0,2,2,0,Server Deficit
1,1,4,1,1,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,30,5,0,1,1,Moderate Deficit
1,1,3,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,1,0,0,2,2,Well Equipped
1,2,20,1,2,1,0,Server Deficit
1,1,4,4,2,2,2,Well Equipped
1,1,43,1,2,1,1,Moderate Deficit
1,1,12,1,0,1,1,Moderate Deficit
1,1,1,1,0,2,2,Well Equipped
1,1,21,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,3,2,1,1,1,Moderate Deficit
1,1,3,2,0,1,1,Moderate Deficit
1,1,10,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,2,3,0,0,2,0,Server Deficit
1,1,5,0,0,2,2,Well Equipped
1,1,50,1,1,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,8,0,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,10,0,1,1,1,Moderate Deficit
1,2,15,6,0,1,0,Server Deficit
1,1,110,100,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,3,0,0,1,1,Moderate Deficit
3,1,21,11,0,1,2,Well Equipped
1,1,20,3,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,29,0,0,1,1,Moderate Deficit
1,1,20,3,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,2,10,2,0,1,0,Server Deficit
1,1,35,3,1,1,1,Moderate Deficit
1,1,5,0,0,2,2,Well Equipped
1,1,7,0,0,1,1,Moderate Deficit
1,1,3,1,0,1,1,Moderate Deficit
1,1,1,1,5,1,1,Moderate Deficit
1,1,20,20,0,1,1,Moderate Deficit
1,1,30,6,1,1,1,Moderate Deficit
1,1,50,4,0,1,1,Moderate Deficit
1,1,20,0,10,1,1,Moderate Deficit
1,2,17,5,2,1,0,Server Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,26,1,0,1,1,Moderate Deficit
1,1,48,2,0,1,1,Moderate Deficit
1,1,15,0,0,1,1,Moderate Deficit
1,1,2,1,0,1,1,Moderate Deficit
1,1,20,2,1,1,1,Moderate Deficit
1,1,1,3,0,1,1,Moderate Deficit
1,1,3,5,1,1,1,Moderate Deficit
1,1,15,6,0,1,1,Moderate Deficit
1,1,32,0,0,1,1,Moderate Deficit
1,1,6,5,25,1,1,Moderate Deficit
1,1,12,1,0,1,1,Moderate Deficit
1,1,18,0,0,1,1,Moderate Deficit
1,1,10,3,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,40,0,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,153,4,2,1,1,Moderate Deficit
1,1,3,0,0,1,1,Moderate Deficit
1,1,8,0,0,1,1,Moderate Deficit
1,1,5,1,0,2,2,Well Equipped
1,1,15,5,0,1,1,Moderate Deficit
1,1,35,7,80,1,1,Moderate Deficit
1,1,25,0,0,1,1,Moderate Deficit
1,1,4,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,7,1,0,2,2,Well Equipped
1,1,15,0,0,1,1,Moderate Deficit
1,2,15,0,0,1,0,Server Deficit
1,1,6,1,0,1,1,Moderate Deficit
1,1,22,2,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,1,23,0,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,1,10,0,2,2,Well Equipped
1,2,30,1,0,1,0,Server Deficit
1,1,172,6,0,1,1,Moderate Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,25,2,8,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,30,2,0,1,1,Moderate Deficit
1,1,52,4,2,1,1,Moderate Deficit
1,1,5,1,1,1,1,Moderate Deficit
1,1,33,1,1,1,1,Moderate Deficit
1,1,12,3,2,1,1,Moderate Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,4,0,0,1,1,Moderate Deficit
1,2,15,85,2,1,0,Server Deficit
1,1,2,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,2,1,0,0,2,0,Server Deficit
1,2,30,2,0,1,0,Server Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,2,12,1,0,1,0,Server Deficit
1,1,5,1,1,1,1,Moderate Deficit
1,1,5,4,2,1,1,Moderate Deficit
1,1,58,10,0,1,1,Moderate Deficit
1,1,10,2,2,1,1,Moderate Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,10,2,0,1,1,Moderate Deficit
1,1,60,1,0,1,1,Moderate Deficit
1,2,15,0,0,1,0,Server Deficit
1,1,40,5,0,1,1,Moderate Deficit
1,1,2,0,0,1,1,Moderate Deficit
1,1,1,1,1,1,1,Moderate Deficit
1,1,2,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,2,10,0,15,1,0,Server Deficit
1,1,1,8,1,1,1,Moderate Deficit
1,1,10,2,0,1,1,Moderate Deficit
1,1,35,2,1,1,1,Moderate Deficit
1,1,21,10,0,1,1,Moderate Deficit
1,1,6,0,0,1,1,Moderate Deficit
1,1,200,2,0,1,1,Moderate Deficit
1,1,5,2,0,1,1,Moderate Deficit
1,1,6,1,1,1,1,Moderate Deficit
1,1,10,5,1,1,1,Moderate Deficit
1,1,10,2,10,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,15,0,0,1,1,Moderate Deficit
1,1,10,15,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,2,23,2,0,1,0,Server Deficit
1,2,40,3,0,1,0,Server Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,50,2,0,1,1,Moderate Deficit
1,1,6,0,0,2,2,Well Equipped
1,1,55,4,0,1,1,Moderate Deficit
1,1,5,2,1,1,1,Moderate Deficit
1,1,7,2,0,1,1,Moderate Deficit
1,1,13,1,0,1,1,Moderate Deficit
2,1,30,1,1,1,1,Moderate Deficit
1,2,10,2,0,1,0,Server Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,45,10,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,20,4,0,1,1,Moderate Deficit
1,2,2,1,1,1,0,Server Deficit
1,1,21,2,0,1,1,Moderate Deficit
1,1,50,2,0,1,1,Moderate Deficit
1,1,25,0,0,1,1,Moderate Deficit
1,2,35,5,1,1,0,Server Deficit
1,1,20,1,2,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,10,1,1,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,2,3,0,0,1,0,Server Deficit
1,1,45,10,0,1,1,Moderate Deficit
1,1,0,1,4,1,1,Moderate Deficit
1,1,8,3,0,1,1,Moderate Deficit
1,1,10,40,0,1,1,Moderate Deficit
1,1,16,8,12,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,2,44,1,0,1,0,Server Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,30,5,15,1,1,Moderate Deficit
1,1,0,1,0,2,2,Well Equipped
1,1,5,0,0,2,2,Well Equipped
1,1,20,10,5,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,80,0,1,1,Moderate Deficit
1,1,60,2,0,1,1,Moderate Deficit
1,2,12,1,0,2,0,Server Deficit
1,1,1,1,0,1,1,Moderate Deficit
2,1,20,6,0,2,2,Well Equipped
1,1,15,1,0,1,1,Moderate Deficit
1,1,50,1,0,1,1,Moderate Deficit
1,1,11,1,0,1,1,Moderate Deficit
1,1,80,2,0,1,1,Moderate Deficit
1,1,20,1,0,1,1,Moderate Deficit
1,1,31,2,10,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,2,2,1,1,1,Moderate Deficit
1,1,5,2,2,1,1,Moderate Deficit
1,1,40,20,0,1,1,Moderate Deficit
1,1,3,0,0,1,1,Moderate Deficit
1,1,200,7,4,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,35,1,0,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,2,1,0,1,1,Moderate Deficit
1,1,8,1,1,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,2,60,120,0,1,0,Server Deficit
1,1,10,50,0,1,1,Moderate Deficit
1,2,30,1,0,1,0,Server Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,8,0,0,1,1,Moderate Deficit
1,1,10,1,1,1,1,Moderate Deficit
1,1,10,0,0,2,2,Well Equipped
1,1,5,0,0,1,1,Moderate Deficit
1,1,10,4,1,1,1,Moderate Deficit
1,1,10,1,1,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,15,0,0,1,1,Moderate Deficit
1,1,15,1,0,1,1,Moderate Deficit
1,1,5,2,0,1,1,Moderate Deficit
1,1,16,2,0,1,1,Moderate Deficit
1,1,0,0,1,2,2,Well Equipped
1,1,2,0,0,2,2,Well Equipped
1,1,30,120,0,1,1,Moderate Deficit
1,1,11,4,0,1,1,Moderate Deficit
1,1,20,5,0,1,1,Moderate Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,15,25,1,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,2,0,0,0,2,0,Server Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,12,2,0,1,1,Moderate Deficit
1,1,24,10,1,1,1,Moderate Deficit
1,1,250,50,0,1,1,Moderate Deficit
1,1,5,5,1,1,1,Moderate Deficit
1,1,40,1,0,1,1,Moderate Deficit
1,1,25,5,0,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,85,2,0,1,1,Moderate Deficit
1,1,15,0,0,1,1,Moderate Deficit
1,1,0,2,0,1,1,Moderate Deficit
1,1,54,0,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,1,35,5,12,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,3,1,0,1,1,Moderate Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,10,1,0,2,2,Well Equipped
1,2,35,0,20,1,0,Server Deficit
1,1,30,20,0,1,1,Moderate Deficit
1,1,5,40,0,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,20,1,0,1,1,Moderate Deficit
1,2,20,1,0,2,0,Server Deficit
1,1,16,1,0,2,2,Well Equipped
1,1,40,1,0,1,1,Moderate Deficit
1,1,12,2,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,8,1,0,1,1,Moderate Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,55,1,0,1,1,Moderate Deficit
1,1,1,1,1,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,65,27,0,1,1,Moderate Deficit
1,2,5,1,1,1,0,Server Deficit
1,1,12,2,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,1,6,1,0,1,1,Moderate Deficit
1,1,10,8,1,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,50,20,10,1,1,Moderate Deficit
1,1,16,1,0,1,1,Moderate Deficit
1,2,5,0,1,1,0,Server Deficit
1,1,85,15,10,1,1,Moderate Deficit
1,1,2,0,0,2,2,Well Equipped
1,1,15,10,30,1,1,Moderate Deficit
1,2,50,7,2,1,0,Server Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,5,0,0,2,2,Well Equipped
1,1,10,1,0,2,2,Well Equipped
1,2,3,1,0,1,0,Server Deficit
1,1,15,3,0,1,1,Moderate Deficit
1,1,10,0,1,1,1,Moderate Deficit
1,2,10,40,0,1,0,Server Deficit
1,1,5,2,0,1,1,Moderate Deficit
1,1,2,0,0,2,2,Well Equipped
1,1,1,1,0,1,1,Moderate Deficit
1,1,12,1,0,1,1,Moderate Deficit
1,1,20,1,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,2,10,2,0,1,0,Server Deficit
1,1,46,4,0,1,1,Moderate Deficit
1,1,5,0,0,2,2,Well Equipped
1,1,25,5,0,1,1,Moderate Deficit
1,2,20,0,0,1,0,Server Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,27,2,0,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,10,3,200,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,45,4,5,1,1,Moderate Deficit
1,1,26,1,1,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,4,0,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,14,0,0,1,1,Moderate Deficit
1,1,160,4,0,1,1,Moderate Deficit
1,1,160,10,0,1,1,Moderate Deficit
1,1,20,2,0,1,1,Moderate Deficit
1,1,15,0,12,1,1,Moderate Deficit
1,1,30,4,2,1,1,Moderate Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,2,1,20,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,13,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,17,0,0,1,1,Moderate Deficit
1,1,18,2,2,1,1,Moderate Deficit
1,1,4,2,2,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,30,0,1,1,Moderate Deficit
1,1,17,1,0,1,1,Moderate Deficit
1,1,13,1,0,1,1,Moderate Deficit
1,1,25,2,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,35,7,0,1,1,Moderate Deficit
1,1,30,0,0,1,1,Moderate Deficit
1,1,15,1,20,1,1,Moderate Deficit
1,1,4,2,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,2,67,1,0,1,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,37,2,0,1,1,Moderate Deficit
1,1,7,0,0,2,2,Well Equipped
1,2,35,2,0,1,0,Server Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,12,2,2,2,Well Equipped
1,1,7,1,0,2,2,Well Equipped
1,1,1,0,0,1,1,Moderate Deficit
1,1,3,3,10,1,1,Moderate Deficit
1,1,1,1,1,1,1,Moderate Deficit
1,1,2,1,0,1,1,Moderate Deficit
1,1,50,4,0,1,1,Moderate Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,98,24,10,1,1,Moderate Deficit
1,1,18,4,2,1,1,Moderate Deficit
1,2,51,3,1,1,0,Server Deficit
1,1,8,1,0,1,1,Moderate Deficit
1,1,4,0,0,1,1,Moderate Deficit
1,2,4,6,2,1,0,Server Deficit
1,1,180,3,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,1,0,0,2,2,Well Equipped
1,1,4,0,0,2,2,Well Equipped
1,1,8,3,0,1,1,Moderate Deficit
1,1,10,5,0,1,1,Moderate Deficit
1,1,36,0,0,1,1,Moderate Deficit
1,2,5,60,0,1,0,Server Deficit
1,1,8,2,0,1,1,Moderate Deficit
1,1,70,8,0,1,1,Moderate Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,3,12,2,1,1,Moderate Deficit
1,2,25,0,0,1,0,Server Deficit
1,2,6,1,0,2,0,Server Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,10,0,1,1,1,Moderate Deficit
1,1,4,5,3,1,1,Moderate Deficit
1,1,27,1,26,1,1,Moderate Deficit
1,1,6,2,1,1,1,Moderate Deficit
1,1,5,2,0,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,2,1,0,1,1,Moderate Deficit
1,1,10,2,1,1,1,Moderate Deficit
1,1,4,1,0,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,15,1,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,1,285,8,6,1,1,Moderate Deficit
1,2,10,1,0,1,0,Server Deficit
1,2,25,6,0,1,0,Server Deficit
1,1,50,1,0,1,1,Moderate Deficit
1,1,35,35,0,1,1,Moderate Deficit
1,1,66,15,1,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,25,1,4,1,1,Moderate Deficit
1,1,18,0,0,1,1,Moderate Deficit
1,1,7,3,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,2,0,0,1,2,0,Server Deficit
1,1,20,1,1,1,1,Moderate Deficit
1,1,30,1,0,1,1,Moderate Deficit
1,1,75,2,1,1,1,Moderate Deficit
1,1,11,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,15,1,0,1,1,Moderate Deficit
1,1,30,0,0,1,1,Moderate Deficit
1,2,10,1,0,2,0,Server Deficit
1,1,30,12,2,1,1,Moderate Deficit
1,1,63,12,9,1,1,Moderate Deficit
1,2,30,0,0,1,0,Server Deficit
1,1,7,1,0,1,1,Moderate Deficit
1,1,6,1,0,1,1,Moderate Deficit
1,2,10,1,0,2,0,Server Deficit
1,1,0,0,0,1,1,Moderate Deficit
3,1,0,0,0,2,2,Well Equipped
1,1,7,3,0,1,1,Moderate Deficit
1,1,2,1,0,2,2,Well Equipped
1,1,40,45,5,1,1,Moderate Deficit
1,1,4,1,0,1,1,Moderate Deficit
1,1,10,0,0,1,1,Moderate Deficit
1,1,0,2,0,2,2,Well Equipped
1,1,10,0,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,35,0,0,1,1,Moderate Deficit
1,1,10,1,0,2,2,Well Equipped
1,1,3,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,16,2,0,1,1,Moderate Deficit
1,1,2,1,0,1,1,Moderate Deficit
1,1,15,2,0,1,1,Moderate Deficit
1,1,5,2,1,1,1,Moderate Deficit
1,2,50,10,0,1,0,Server Deficit
1,1,1,0,1,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,5,0,0,1,1,Moderate Deficit
1,1,35,3,0,1,1,Moderate Deficit
1,1,12,1,1,1,1,Moderate Deficit
1,1,5,0,0,2,2,Well Equipped
1,1,100,4,4,1,1,Moderate Deficit
1,1,41,1,0,1,1,Moderate Deficit
1,1,80,26,60,1,1,Moderate Deficit
1,1,55,2,0,1,1,Moderate Deficit
1,1,30,3,0,1,1,Moderate Deficit
1,1,15,0,0,2,2,Well Equipped
1,1,2,0,0,2,2,Well Equipped
2,1,0,0,0,2,2,Well Equipped
1,1,25,3,1,1,1,Moderate Deficit
1,2,0,1,0,2,0,Server Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,0,1,0,1,1,Moderate Deficit
1,1,4,10,1,1,1,Moderate Deficit
1,1,8,0,0,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,25,1,0,1,1,Moderate Deficit
1,1,10,2,0,1,1,Moderate Deficit
1,1,15,3,1,1,1,Moderate Deficit
1,1,4,4,1,1,1,Moderate Deficit
1,1,8,0,0,1,1,Moderate Deficit
1,1,40,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,100,30,10,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,40,1,1,1,1,Moderate Deficit
1,1,10,10,2,1,1,Moderate Deficit
1,2,5,1,0,1,0,Server Deficit
1,1,25,10,10,1,1,Moderate Deficit
1,1,13,2,20,1,1,Moderate Deficit
1,2,5,1,0,1,0,Server Deficit
1,1,49,3,0,1,1,Moderate Deficit
1,1,20,2,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,13,0,0,2,2,Well Equipped
1,1,65,3,0,1,1,Moderate Deficit
1,1,10,0,0,2,2,Well Equipped
1,1,30,2,0,1,1,Moderate Deficit
1,1,12,0,0,2,2,Well Equipped
1,1,1,0,0,2,2,Well Equipped
1,1,8,15,1,1,1,Moderate Deficit
1,1,25,1,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,70,5,0,1,1,Moderate Deficit
1,1,10,4,0,1,1,Moderate Deficit
1,1,4,0,0,1,1,Moderate Deficit
1,1,37,20,0,1,1,Moderate Deficit
1,1,5,5,5,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,20,0,0,1,1,Moderate Deficit
1,1,24,1,0,1,1,Moderate Deficit
1,1,56,3,0,1,1,Moderate Deficit
1,1,13,1,0,1,1,Moderate Deficit
1,1,30,0,7,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,13,2,7,1,1,Moderate Deficit
1,1,35,0,0,1,1,Moderate Deficit
1,1,0,2,0,1,1,Moderate Deficit
1,1,21,16,0,1,1,Moderate Deficit
1,1,15,1,0,1,1,Moderate Deficit
1,1,4,2,1,1,1,Moderate Deficit
1,1,0,1,0,1,1,Moderate Deficit
1,2,3,2,1,1,0,Server Deficit
1,1,9,1,1,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,2,3,1,1,1,Moderate Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,1,50,1,0,1,1,Moderate Deficit
1,1,2,0,0,1,1,Moderate Deficit
1,1,4,2,0,1,1,Moderate Deficit
1,1,12,1,45,2,2,Well Equipped
1,1,30,2,0,1,1,Moderate Deficit
1,1,25,5,0,1,1,Moderate Deficit
1,1,7,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,1,0,0,2,2,Well Equipped
1,1,23,1,1,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,2,15,2,0,1,0,Server Deficit
